Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	82.54	82.555	82.14	82.14
2013-05-31 15:40:00	82.78	82.83	82.54	82.54
2013-05-31 15:30:00	82.92	82.92	82.67	82.78
2013-05-31 15:20:00	83.00	83.13	82.90	82.9299
2013-05-31 15:10:00	83.01	83.05	82.92	83.01
2013-05-31 15:00:00	82.87	83.08	82.77	83.03
2013-05-31 14:50:00	82.92	82.945	82.76	82.88
2013-05-31 14:40:00	82.94	83.00	82.86	82.9214
2013-05-31 14:30:00	83.13	83.135	82.93	82.94
2013-05-31 14:20:00	83.11	83.17	83.07	83.15
2013-05-31 14:10:00	83.14	83.19	82.93	83.125
2013-05-31 14:00:00	83.26	83.27	83.14	83.14
2013-05-31 13:50:00	83.325	83.33	83.17	83.28
2013-05-31 13:40:00	83.41	83.41	83.30	83.32
2013-05-31 13:30:00	83.48	83.481	83.36	83.42
2013-05-31 13:20:00	83.3545	83.50	83.3545	83.48
2013-05-31 13:10:00	83.37	83.38	83.28	83.36
2013-05-31 13:00:00	83.25	83.38	83.20	83.36
2013-05-31 12:50:00	83.29	83.375	83.25	83.2534
2013-05-31 12:40:00	83.17	83.32	83.17	83.31
2013-05-31 12:30:00	83.10	83.22	83.08	83.19
2013-05-31 12:20:00	83.05	83.14	83.03	83.10
2013-05-31 12:10:00	83.20	83.206	83.03	83.079
2013-05-31 12:00:00	83.30	83.305	83.15	83.20
2013-05-31 11:50:00	83.26	83.37	83.21	83.30
2013-05-31 11:40:00	83.17	83.32	83.11	83.28
2013-05-31 11:30:00	83.08	83.18	83.02	83.18
2013-05-31 11:20:00	83.17	83.25	83.09	83.09
2013-05-31 11:10:00	83.12	83.29	83.12	83.16
2013-05-31 11:00:00	82.73	83.1199	82.71	83.1199
2013-05-31 10:50:00	82.72	82.75	82.66	82.73
2013-05-31 10:40:00	82.88	82.90	82.64	82.72
2013-05-31 10:30:00	82.45	82.89	82.42	82.89
2013-05-31 10:20:00	82.27	82.49	82.25	82.45
2013-05-31 10:10:00	82.19	82.32	82.16	82.31
2013-05-31 10:00:00	82.26	82.47	82.14	82.19
2013-05-31 09:50:00	82.25	82.31	82.00	82.25
2013-05-31 09:40:00	82.07	82.39	82.04	82.2696
2013-05-31 09:30:00	82.25	82.41	82.04	82.12
2013-05-30 15:50:00	82.98	83.01	82.78	82.84
2013-05-30 15:40:00	83.0525	83.1349	82.98	83.00
2013-05-30 15:30:00	83.08	83.09	82.99	83.055
2013-05-30 15:20:00	83.24	83.26	83.08	83.0801
2013-05-30 15:10:00	83.22	83.26	83.2025	83.23
