Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	86.0599	86.12	85.82	85.83
2013-05-31 15:40:00	86.05	86.161	85.98	86.05
2013-05-31 15:30:00	86.15	86.17	86.01	86.05
2013-05-31 15:20:00	86.21	86.27	86.14	86.16
2013-05-31 15:10:00	86.19	86.25	86.16	86.20
2013-05-31 15:00:00	86.18	86.25	86.14	86.20
2013-05-31 14:50:00	86.27	86.29	86.14	86.19
2013-05-31 14:40:00	86.31	86.341	86.20	86.25
2013-05-31 14:30:00	86.53	86.5399	86.29	86.32
2013-05-31 14:20:00	86.4768	86.55	86.43	86.5328
2013-05-31 14:10:00	86.57	86.58	86.37	86.49
2013-05-31 14:00:00	86.58	86.60	86.48	86.58
2013-05-31 13:50:00	86.5901	86.62	86.49	86.59
2013-05-31 13:40:00	86.53	86.60	86.49	86.60
2013-05-31 13:30:00	86.65	86.65	86.51	86.53
2013-05-31 13:20:00	86.60	86.65	86.586	86.65
2013-05-31 13:10:00	86.63	86.664	86.58	86.59
2013-05-31 13:00:00	86.5801	86.67	86.57	86.635
2013-05-31 12:50:00	86.68	86.73	86.58	86.59
2013-05-31 12:40:00	86.60	86.67	86.56	86.64
2013-05-31 12:30:00	86.58	86.6399	86.53	86.60
2013-05-31 12:20:00	86.5399	86.60	86.48	86.5801
2013-05-31 12:10:00	86.5955	86.60	86.46	86.5252
2013-05-31 12:00:00	86.79	86.81	86.57	86.594
2013-05-31 11:50:00	86.86	86.89	86.79	86.80
2013-05-31 11:40:00	86.825	86.90	86.77	86.86
2013-05-31 11:30:00	86.71	86.88	86.68	86.83
2013-05-31 11:20:00	86.81	86.8601	86.70	86.71
2013-05-31 11:10:00	86.86	86.95	86.79	86.85
2013-05-31 11:00:00	86.59	86.89	86.55	86.88
2013-05-31 10:50:00	86.64	86.65	86.54	86.59
2013-05-31 10:40:00	86.70	86.74	86.58	86.63
2013-05-31 10:30:00	86.68	86.77	86.63	86.69
2013-05-31 10:20:00	86.56	86.75	86.49	86.662
2013-05-31 10:10:00	86.44	86.6599	86.411	86.55
2013-05-31 10:00:00	86.66	86.74	86.40	86.4745
2013-05-31 09:50:00	86.62	86.769	86.34	86.65
2013-05-31 09:40:00	86.24	86.69	86.23	86.6061
2013-05-31 09:30:00	86.23	86.31	86.05	86.25
2013-05-30 15:50:00	86.55	86.55	86.39	86.423
2013-05-30 15:40:00	86.62	86.725	86.53	86.55
2013-05-30 15:30:00	86.75	86.80	86.56	86.63
2013-05-30 15:20:00	86.83	86.87	86.74	86.75
2013-05-30 15:10:00	86.82	86.83	86.77	86.83
2013-05-30 15:00:00	86.86	86.865	86.775	86.8184
2013-05-30 14:50:00	86.84	86.90	86.80	86.87
2013-05-30 14:40:00	86.86	86.87	86.80	86.85
2013-05-30 14:30:00	86.82	86.90	86.765	86.85
2013-05-30 14:20:00	86.72	86.82	86.71	86.82
2013-05-30 14:10:00	86.65	86.75	86.64	86.71
2013-05-30 14:00:00	86.75	86.86	86.6484	86.6484
2013-05-30 13:50:00	86.7265	86.76	86.6631	86.75
2013-05-30 13:40:00	86.70	86.74	86.68	86.72
2013-05-30 13:30:00	86.66	86.75	86.66	86.7112
2013-05-30 13:20:00	86.64	86.72	86.61	86.66
2013-05-30 13:10:00	86.64	86.70	86.60	86.642
2013-05-30 13:00:00	86.719	86.72	86.6278	86.65
2013-05-30 12:50:00	86.562	86.72	86.51	86.7047
2013-05-30 12:40:00	86.56	86.64	86.53	86.58
2013-05-30 12:30:00	86.69	86.74	86.56	86.57
2013-05-30 12:20:00	86.72	86.725	86.59	86.70
2013-05-30 12:10:00	86.73	86.80	86.64	86.7399
2013-05-30 12:00:00	86.67	86.821	86.67	86.74
2013-05-30 11:50:00	86.64	86.71	86.61	86.67
2013-05-30 11:40:00	86.6999	86.79	86.62	86.64
2013-05-30 11:30:00	86.75	86.75	86.63	86.70
2013-05-30 11:20:00	86.7293	86.76	86.64	86.75
2013-05-30 11:10:00	86.77	86.91	86.74	86.75
2013-05-30 11:00:00	86.87	86.96	86.74	86.77
2013-05-30 10:50:00	86.78	86.95	86.61	86.8765
2013-05-30 10:40:00	86.6825	87.00	86.67	86.79
2013-05-30 10:30:00	86.59	86.6999	86.59	86.69
2013-05-30 10:20:00	86.59	86.6808	86.42	86.59
2013-05-30 10:10:00	86.525	86.70	86.515	86.60
2013-05-30 10:00:00	86.87	86.92	86.50	86.50
2013-05-30 09:50:00	86.925	86.99	86.70	86.82
2013-05-30 09:40:00	86.20	86.98	86.1494	86.9101
2013-05-30 09:30:00	86.47	86.59	85.99	86.162
2013-05-29 15:50:00	86.48	86.55	86.38	86.48
2013-05-29 15:40:00	86.5799	86.63	86.48	86.49
2013-05-29 15:30:00	86.548	86.60	86.524	86.57
2013-05-29 15:20:00	86.37	86.55	86.34	86.545
2013-05-29 15:10:00	86.45	86.53	86.37	86.37
2013-05-29 15:00:00	86.37	86.49	86.34	86.4467
2013-05-29 14:50:00	86.54	86.565	86.366	86.366
2013-05-29 14:40:00	86.56	86.66	86.53	86.539
2013-05-29 14:30:00	86.56	86.59	86.494	86.561
2013-05-29 14:20:00	86.584	86.64	86.55	86.57
2013-05-29 14:10:00	86.62	86.66	86.55	86.58
2013-05-29 14:00:00	86.579	86.65	86.46	86.62
2013-05-29 13:50:00	86.47	86.66	86.42	86.58
2013-05-29 13:40:00	86.34	86.48	86.34	86.4501
2013-05-29 13:30:00	86.15	86.36	86.09	86.36
2013-05-29 13:20:00	86.03	86.1799	86.02	86.1699
2013-05-29 13:10:00	85.94	86.03	85.85	86.03
2013-05-29 13:00:00	85.91	86.00	85.90	85.95
2013-05-29 12:50:00	85.78	85.93	85.75	85.905
2013-05-29 12:40:00	85.90	85.95	85.78	85.78
2013-05-29 12:30:00	85.99	86.04	85.87	85.90
2013-05-29 12:20:00	86.04	86.07	85.916	86.00
2013-05-29 12:10:00	85.98	86.09	85.9423	86.05
2013-05-29 12:00:00	85.99	86.11	85.94	85.961
2013-05-29 11:50:00	86.02	86.04	85.93	85.98
2013-05-29 11:40:00	85.76	86.04	85.75	86.03
2013-05-29 11:30:00	85.85	85.86	85.70	85.79
2013-05-29 11:20:00	85.89	85.99	85.819	85.8301
2013-05-29 11:10:00	85.72	85.98	85.68	85.88
2013-05-29 11:00:00	85.66	85.77	85.61	85.75
2013-05-29 10:50:00	85.729	85.765	85.523	85.69
2013-05-29 10:40:00	85.92	85.95	85.72	85.7301
2013-05-29 10:30:00	85.89	85.96	85.8175	85.93
2013-05-29 10:20:00	86.2234	86.31	85.86	85.89
2013-05-29 10:10:00	85.93	86.25	85.8667	86.23
2013-05-29 10:00:00	85.86	86.16	85.81	85.94
2013-05-29 09:50:00	85.94	86.00	85.70	85.87
2013-05-29 09:40:00	85.80	85.98	85.45	85.94
2013-05-29 09:30:00	85.73	85.98	85.33	85.80
2013-05-28 15:50:00	86.251	86.251	86.09	86.19
2013-05-28 15:40:00	86.29	86.35	86.23	86.25
2013-05-28 15:30:00	86.20	86.36	86.19	86.2975
2013-05-28 15:20:00	86.194	86.26	86.1232	86.19
2013-05-28 15:10:00	86.11	86.23	86.04	86.19
2013-05-28 15:00:00	86.17	86.1899	86.04	86.1099
2013-05-28 14:50:00	86.1601	86.315	86.145	86.16
2013-05-28 14:40:00	85.9125	86.20	85.9125	86.164
2013-05-28 14:30:00	86.13	86.13	85.90	85.915
2013-05-28 14:20:00	86.20	86.20	86.06	86.1301
2013-05-28 14:10:00	86.25	86.251	86.06	86.20
2013-05-28 14:00:00	86.33	86.36	86.21	86.26
2013-05-28 13:50:00	86.339	86.44	86.30	86.33
2013-05-28 13:40:00	86.52	86.52	86.27	86.34
2013-05-28 13:30:00	86.59	86.64	86.51	86.53
2013-05-28 13:20:00	86.7165	86.73	86.56	86.57
2013-05-28 13:10:00	86.7202	86.74	86.59	86.7345
2013-05-28 13:00:00	86.6298	86.80	86.61	86.73
2013-05-28 12:50:00	86.6399	86.68	86.53	86.65
2013-05-28 12:40:00	86.6325	86.78	86.61	86.64
2013-05-28 12:30:00	86.61	86.65	86.51	86.62
2013-05-28 12:20:00	86.634	86.681	86.59	86.6164
2013-05-28 12:10:00	86.77	86.782	86.61	86.64
2013-05-28 12:00:00	86.64	86.77	86.58	86.77
2013-05-28 11:50:00	86.90	86.90	86.63	86.63
2013-05-28 11:40:00	87.15	87.15	86.91	86.91
2013-05-28 11:30:00	87.17	87.19	87.00	87.14
