Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	43.25	43.25	42.80	42.82
2013-05-31 15:40:00	43.43	43.46	43.24	43.24
2013-05-31 15:30:00	43.47	43.48	43.35	43.43
2013-05-31 15:20:00	43.55	43.61	43.47	43.47
2013-05-31 15:10:00	43.51	43.61	43.49	43.55
2013-05-31 15:00:00	43.44	43.52	43.40	43.51
2013-05-31 14:50:00	43.49	43.52	43.39	43.45
2013-05-31 14:40:00	43.42	43.56	43.39	43.48
2013-05-31 14:30:00	43.575	43.575	43.40	43.4135
2013-05-31 14:20:00	43.47	43.58	43.46	43.58
2013-05-31 14:10:00	43.56	43.56	43.43	43.48
2013-05-31 14:00:00	43.59	43.59	43.5201	43.57
2013-05-31 13:50:00	43.60	43.61	43.53	43.5702
2013-05-31 13:40:00	43.58	43.65	43.565	43.61
2013-05-31 13:30:00	43.71	43.71	43.58	43.59
2013-05-31 13:20:00	43.64	43.755	43.64	43.71
2013-05-31 13:10:00	43.63	43.66	43.59	43.65
2013-05-31 13:00:00	43.59	43.66	43.572	43.6302
2013-05-31 12:50:00	43.57	43.62	43.52	43.58
2013-05-31 12:40:00	43.52	43.63	43.52	43.58
2013-05-31 12:30:00	43.49	43.57	43.46	43.52
2013-05-31 12:20:00	43.38	43.499	43.36	43.499
2013-05-31 12:10:00	43.34	43.459	43.32	43.3899
2013-05-31 12:00:00	43.34	43.35	43.32	43.34
2013-05-31 11:50:00	43.37	43.38	43.32	43.34
2013-05-31 11:40:00	43.30	43.47	43.28	43.3701
2013-05-31 11:30:00	43.31	43.36	43.265	43.30
2013-05-31 11:20:00	43.38	43.41	43.31	43.32
2013-05-31 11:10:00	43.47	43.50	43.39	43.40
2013-05-31 11:00:00	43.48	43.53	43.45	43.47
2013-05-31 10:50:00	43.69	43.703	43.48	43.48
2013-05-31 10:40:00	43.645	43.74	43.59	43.69
2013-05-31 10:30:00	43.59	43.67	43.53	43.64
2013-05-31 10:20:00	43.59	43.6096	43.53	43.59
2013-05-31 10:10:00	43.66	43.73	43.53	43.58
2013-05-31 10:00:00	43.77	43.86	43.67	43.68
2013-05-31 09:50:00	43.92	43.975	43.74	43.79
2013-05-31 09:40:00	43.84	44.045	43.84	43.94
2013-05-31 09:30:00	43.85	43.89	43.5595	43.84
2013-05-30 15:50:00	44.12	44.18	44.09	44.15
2013-05-30 15:40:00	44.14	44.165	44.09	44.12
2013-05-30 15:30:00	44.105	44.14	44.0842	44.14
2013-05-30 15:20:00	44.18	44.19	44.09	44.11
2013-05-30 15:10:00	44.17	44.20	44.16	44.19
2013-05-30 15:00:00	44.16	44.20	44.12	44.17
2013-05-30 14:50:00	44.20	44.21	44.14	44.15
2013-05-30 14:40:00	44.17	44.21	44.16	44.21
2013-05-30 14:30:00	44.24	44.25	44.13	44.17
2013-05-30 14:20:00	44.11	44.24	44.11	44.24
2013-05-30 14:10:00	44.11	44.13	44.10	44.10
2013-05-30 14:00:00	44.21	44.22	44.1057	44.1116
2013-05-30 13:50:00	44.24	44.25	44.175	44.20
2013-05-30 13:40:00	44.23	44.25	44.22	44.24
2013-05-30 13:30:00	44.20	44.265	44.20	44.2375
2013-05-30 13:20:00	44.20	44.23	44.15	44.20
2013-05-30 13:10:00	44.20	44.25	44.18	44.1905
2013-05-30 13:00:00	44.26	44.26	44.20	44.20
2013-05-30 12:50:00	44.22	44.27	44.21	44.25
2013-05-30 12:40:00	44.21	44.25	44.18	44.22
2013-05-30 12:30:00	44.22	44.25	44.185	44.21
2013-05-30 12:20:00	44.29	44.29	44.22	44.23
2013-05-30 12:10:00	44.25	44.30	44.22	44.29
2013-05-30 12:00:00	44.24	44.27	44.21	44.255
2013-05-30 11:50:00	44.24	44.29	44.22	44.2399
2013-05-30 11:40:00	44.19	44.24	44.16	44.24
2013-05-30 11:30:00	44.29	44.32	44.19	44.20
2013-05-30 11:20:00	44.35	44.41	44.28	44.30
2013-05-30 11:10:00	44.45	44.47	44.34	44.34
2013-05-30 11:00:00	44.49	44.535	44.42	44.4501
2013-05-30 10:50:00	44.55	44.57	44.479	44.49
2013-05-30 10:40:00	44.57	44.66	44.55	44.56
2013-05-30 10:30:00	44.51	44.58	44.47	44.57
2013-05-30 10:20:00	44.38	44.57	44.38	44.51
2013-05-30 10:10:00	44.42	44.46	44.31	44.38
2013-05-30 10:00:00	44.55	44.63	44.35	44.41
2013-05-30 09:50:00	44.65	44.65	44.53	44.57
2013-05-30 09:40:00	44.56	44.65	44.44	44.65
2013-05-30 09:30:00	44.64	44.64	44.35	44.56
2013-05-29 15:50:00	44.68	44.71	44.64	44.67
2013-05-29 15:40:00	44.71	44.77	44.64	44.685
2013-05-29 15:30:00	44.78	44.80	44.71	44.71
2013-05-29 15:20:00	44.763	44.825	44.74	44.7795
2013-05-29 15:10:00	44.74	44.81	44.71	44.76
2013-05-29 15:00:00	44.69	44.77	44.68	44.73
2013-05-29 14:50:00	44.77	44.83	44.70	44.70
2013-05-29 14:40:00	44.74	44.82	44.73	44.785
2013-05-29 14:30:00	44.6868	44.76	44.685	44.74
2013-05-29 14:20:00	44.82	44.826	44.68	44.68
2013-05-29 14:10:00	44.80	44.88	44.795	44.82
2013-05-29 14:00:00	44.82	44.83	44.74	44.81
2013-05-29 13:50:00	44.73	44.84	44.73	44.82
2013-05-29 13:40:00	44.75	44.81	44.735	44.7397
2013-05-29 13:30:00	44.78	44.795	44.68	44.74
2013-05-29 13:20:00	44.59	44.78	44.59	44.77
2013-05-29 13:10:00	44.5899	44.5899	44.52	44.58
2013-05-29 13:00:00	44.56	44.611	44.53	44.59
2013-05-29 12:50:00	44.52	44.56	44.489	44.55
2013-05-29 12:40:00	44.55	44.62	44.48	44.52
2013-05-29 12:30:00	44.58	44.60	44.48	44.56
2013-05-29 12:20:00	44.68	44.68	44.58	44.58
2013-05-29 12:10:00	44.67	44.69	44.63	44.68
2013-05-29 12:00:00	44.71	44.75	44.67	44.67
2013-05-29 11:50:00	44.66	44.7375	44.66	44.71
2013-05-29 11:40:00	44.65	44.71	44.64	44.67
2013-05-29 11:30:00	44.715	44.76	44.66	44.66
2013-05-29 11:20:00	44.723	44.7799	44.695	44.72
2013-05-29 11:10:00	44.67	44.74	44.67	44.715
2013-05-29 11:00:00	44.67	44.70	44.55	44.68
2013-05-29 10:50:00	44.74	44.82	44.655	44.66
2013-05-29 10:40:00	44.96	44.96	44.73	44.74
2013-05-29 10:30:00	44.93	45.03	44.89	44.95
2013-05-29 10:20:00	45.18	45.18	44.82	44.93
2013-05-29 10:10:00	45.31	45.32	45.17	45.17
2013-05-29 10:00:00	45.45	45.48	45.32	45.32
2013-05-29 09:50:00	45.45	45.50	45.35	45.45
2013-05-29 09:40:00	45.4925	45.5499	45.40	45.44
2013-05-29 09:30:00	45.72	45.77	45.50	45.50
2013-05-28 15:50:00	45.84	45.86	45.795	45.85
2013-05-28 15:40:00	45.83	45.85	45.79	45.835
2013-05-28 15:30:00	45.77	45.85	45.74	45.83
2013-05-28 15:20:00	45.77	45.78	45.71	45.77
