Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	15.75	15.76	15.68	15.683
2013-05-31 15:40:00	15.81	15.83	15.75	15.75
2013-05-31 15:30:00	15.82	15.83	15.775	15.80
2013-05-31 15:20:00	15.8328	15.89	15.82	15.8206
2013-05-31 15:10:00	15.8399	15.84	15.83	15.8343
2013-05-31 15:00:00	15.79	15.84	15.78	15.835
2013-05-31 14:50:00	15.80	15.81	15.77	15.79
2013-05-31 14:40:00	15.805	15.81	15.78	15.80
2013-05-31 14:30:00	15.82	15.84	15.79	15.81
2013-05-31 14:20:00	15.865	15.87	15.77	15.82
2013-05-31 14:10:00	15.9299	15.93	15.85	15.865
2013-05-31 14:00:00	15.925	15.93	15.91	15.92
2013-05-31 13:50:00	15.93	15.94	15.915	15.93
2013-05-31 13:40:00	15.945	15.947	15.92	15.923
2013-05-31 13:30:00	15.957	15.96	15.94	15.94
2013-05-31 13:20:00	15.9599	15.97	15.95	15.9515
2013-05-31 13:10:00	15.99	15.995	15.95	15.96
2013-05-31 13:00:00	15.97	16.00	15.96	15.992
2013-05-31 12:50:00	16.00	16.00	15.97	15.9701
2013-05-31 12:40:00	15.979	16.01	15.97	16.005
2013-05-31 12:30:00	15.96	15.98	15.94	15.98
2013-05-31 12:20:00	15.9668	15.97	15.94	15.953
2013-05-31 12:10:00	15.96	15.97	15.94	15.966
2013-05-31 12:00:00	15.973	15.975	15.94	15.96
2013-05-31 11:50:00	15.9751	16.00	15.965	15.972
2013-05-31 11:40:00	15.98	15.99	15.96	15.97
2013-05-31 11:30:00	15.97	16.00	15.97	15.98
2013-05-31 11:20:00	15.9999	16.02	15.955	15.975
2013-05-31 11:10:00	16.00	16.04	15.99	15.9932
2013-05-31 11:00:00	15.965	16.00	15.96	15.99
2013-05-31 10:50:00	15.939	15.97	15.9301	15.97
2013-05-31 10:40:00	15.963	15.98	15.923	15.935
2013-05-31 10:30:00	15.94	15.99	15.93	15.9685
2013-05-31 10:20:00	15.92	15.94	15.91	15.9393
2013-05-31 10:10:00	15.88	15.94	15.88	15.92
2013-05-31 10:00:00	15.97	15.99	15.88	15.8869
2013-05-31 09:50:00	15.9742	15.99	15.95	15.97
2013-05-31 09:40:00	15.97	15.99	15.95	15.973
