Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	48.52	48.58	48.35	48.351
2013-05-31 15:40:00	48.63	48.73	48.52	48.52
2013-05-31 15:30:00	48.76	48.81	48.5999	48.64
2013-05-31 15:20:00	48.81	48.94	48.76	48.77
2013-05-31 15:10:00	48.80	48.85	48.78	48.80
2013-05-31 15:00:00	48.67	48.83	48.63	48.81
2013-05-31 14:50:00	48.655	48.70	48.60	48.6799
2013-05-31 14:40:00	48.68	48.68	48.60	48.65
2013-05-31 14:30:00	48.7856	48.7856	48.64	48.67
2013-05-31 14:20:00	48.78	48.81	48.76	48.79
2013-05-31 14:10:00	48.96	48.965	48.73	48.78
2013-05-31 14:00:00	49.00	49.005	48.93	48.96
2013-05-31 13:50:00	49.01	49.09	49.00	49.00
2013-05-31 13:40:00	49.00	49.01	48.97	49.01
2013-05-31 13:30:00	49.05	49.05	48.98	49.00
2013-05-31 13:20:00	49.01	49.09	49.01	49.04
2013-05-31 13:10:00	49.16	49.16	48.98	49.00
2013-05-31 13:00:00	48.99	49.20	48.99	49.17
2013-05-31 12:50:00	49.07	49.09	49.00	49.00
2013-05-31 12:40:00	49.06	49.07	48.97	49.07
2013-05-31 12:30:00	49.11	49.13	49.045	49.06
2013-05-31 12:20:00	49.06	49.17	49.05	49.12
2013-05-31 12:10:00	49.12	49.125	48.99	49.0605
2013-05-31 12:00:00	49.16	49.18	49.01	49.13
2013-05-31 11:50:00	49.16	49.16	49.075	49.15
2013-05-31 11:40:00	49.23	49.23	49.14	49.15
2013-05-31 11:30:00	49.14	49.25	49.12	49.23
2013-05-31 11:20:00	49.23	49.26	49.13	49.16
2013-05-31 11:10:00	49.13	49.32	49.13	49.23
2013-05-31 11:00:00	49.09	49.15	49.035	49.14
2013-05-31 10:50:00	49.13	49.15	49.06	49.09
2013-05-31 10:40:00	49.1299	49.16	49.08	49.12
2013-05-31 10:30:00	49.06	49.18	49.06	49.11
2013-05-31 10:20:00	49.06	49.15	49.00	49.06
2013-05-31 10:10:00	48.82	49.04	48.78	49.04
2013-05-31 10:00:00	48.98	49.02	48.756	48.79
2013-05-31 09:50:00	49.02	49.07	48.95	48.98
2013-05-31 09:40:00	49.05	49.13	48.95	49.00
2013-05-31 09:30:00	48.73	49.13	48.73	49.065
2013-05-30 15:50:00	49.205	49.24	49.115	49.19
2013-05-30 15:40:00	49.32	49.37	49.20	49.20
2013-05-30 15:30:00	49.33	49.37	49.265	49.32
2013-05-30 15:20:00	49.49	49.50	49.33	49.3328
2013-05-30 15:10:00	49.49	49.52	49.455	49.49
2013-05-30 15:00:00	49.69	49.695	49.45	49.48
2013-05-30 14:50:00	49.63	49.70	49.62	49.70
2013-05-30 14:40:00	49.5509	49.64	49.53	49.63
2013-05-30 14:30:00	49.60	49.60	49.50	49.56
2013-05-30 14:20:00	49.47	49.61	49.46	49.60
2013-05-30 14:10:00	49.40	49.50	49.40	49.46
2013-05-30 14:00:00	49.45	49.4869	49.38	49.41
2013-05-30 13:50:00	49.42	49.47	49.38	49.45
