Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	805.81	805.90	803.67	804.036
2013-05-31 15:40:00	805.80	805.883	804.774	805.37
2013-05-31 15:30:00	805.34	806.12	802.8675	805.65
2013-05-31 15:20:00	806.00	806.87	804.69	804.691
2013-05-31 15:10:00	805.85	806.20	805.00	805.58
2013-05-31 15:00:00	805.731	806.50	805.22	805.848
2013-05-31 14:50:00	806.77	807.70	805.6001	806.03
2013-05-31 14:40:00	807.55	807.79	806.50	806.54
2013-05-31 14:30:00	808.61	808.90	807.00	807.86
2013-05-31 14:20:00	809.95	809.95	808.60	808.60
2013-05-31 14:10:00	810.595	810.665	807.99	809.59
2013-05-31 14:00:00	810.86	810.86	809.634	810.68
2013-05-31 13:50:00	810.45	810.7262	810.414	810.414
2013-05-31 13:40:00	810.092	810.92	809.80	810.886
2013-05-31 13:30:00	811.70	811.792	809.64	810.12
2013-05-31 13:20:00	811.20	811.81	810.90	811.72
2013-05-31 13:10:00	810.61	811.2399	810.40	810.6001
2013-05-31 13:00:00	809.86	811.00	809.86	810.60
2013-05-31 12:50:00	810.00	810.39	809.30	809.39
2013-05-31 12:40:00	809.59	810.486	809.49	810.486
2013-05-31 12:30:00	811.622	811.95	809.682	809.682
2013-05-31 12:20:00	810.25	811.80	809.30	810.931
2013-05-31 12:10:00	811.81	812.25	808.73	810.00
2013-05-31 12:00:00	811.72	812.30	811.42	812.229
2013-05-31 11:50:00	810.66	812.43	810.241	812.02
2013-05-31 11:40:00	812.77	812.77	810.71	810.71
2013-05-31 11:30:00	812.53	814.57	812.53	812.86
2013-05-31 11:20:00	814.89	815.47	812.01	812.01
2013-05-31 11:10:00	814.50	815.38	813.228	814.40
2013-05-31 11:00:00	812.11	814.25	811.70	814.16
2013-05-31 10:50:00	813.15	813.87	811.23	812.07
2013-05-31 10:40:00	816.175	816.19	811.90	812.85
2013-05-31 10:30:00	814.6288	816.20	814.068	816.152
2013-05-31 10:20:00	814.221	815.51	813.80	814.25
2013-05-31 10:10:00	811.011	814.42	811.011	814.38
2013-05-31 10:00:00	812.54	816.18	810.47	811.1551
2013-05-31 09:50:00	814.0001	815.49	811.44	812.64
2013-05-31 09:40:00	817.56	819.98	813.64	813.64
2013-05-31 09:30:00	805.77	818.2399	805.145	817.4725
2013-05-30 15:50:00	808.49	808.95	807.50	807.771
2013-05-30 15:40:00	809.22	810.20	807.67	808.22
2013-05-30 15:30:00	807.76	809.69	807.69	809.47
2013-05-30 15:20:00	809.87	810.20	807.81	807.82
2013-05-30 15:10:00	809.913	810.00	808.94	809.45
2013-05-30 15:00:00	809.12	810.00	808.76	809.99
2013-05-30 14:50:00	808.83	809.79	808.51	808.78
2013-05-30 14:40:00	809.04	809.27	807.55	808.82
2013-05-30 14:30:00	809.16	809.16	806.70	808.22
2013-05-30 14:20:00	808.83	809.39	808.11	808.53
2013-05-30 14:10:00	808.50	809.02	807.761	809.02
2013-05-30 14:00:00	808.952	809.65	808.48	808.55
2013-05-30 13:50:00	809.07	810.50	808.87	809.64
2013-05-30 13:40:00	809.01	809.53	808.70	809.07
2013-05-30 13:30:00	807.425	808.92	806.905	808.92
2013-05-30 13:20:00	807.44	808.14	807.13	807.50
2013-05-30 13:10:00	807.00	808.00	806.48	808.00
2013-05-30 13:00:00	807.599	809.20	806.96	807.18
2013-05-30 12:50:00	809.10	809.30	806.00	807.67
2013-05-30 12:40:00	809.59	810.50	808.785	808.785
2013-05-30 12:30:00	810.185	810.65	809.10	809.55
2013-05-30 12:20:00	811.75	811.75	810.15	810.15
2013-05-30 12:10:00	812.26	812.40	811.30	811.75
2013-05-30 12:00:00	813.50	814.00	812.24	812.41
2013-05-30 11:50:00	811.33	813.85	811.24	813.2315
2013-05-30 11:40:00	813.13	813.20	810.99	811.4599
2013-05-30 11:30:00	815.00	815.49	812.30	813.24
2013-05-30 11:20:00	813.851	815.17	813.72	814.94
2013-05-30 11:10:00	814.29	815.80	814.10	814.39
2013-05-30 11:00:00	815.11	816.40	814.00	814.25
2013-05-30 10:50:00	811.55	815.572	811.05	815.11
2013-05-30 10:40:00	810.57	813.00	810.51	811.67
2013-05-30 10:30:00	809.39	811.3399	809.07	810.32
2013-05-30 10:20:00	809.40	810.61	808.80	810.026
2013-05-30 10:10:00	810.84	812.68	808.782	808.782
2013-05-30 10:00:00	814.39	815.5299	808.01	810.915
