Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	81.00	81.07	80.77	80.90
2013-05-31 15:40:00	81.03	81.185	80.99	81.00
2013-05-31 15:30:00	81.17	81.205	80.97	81.035
2013-05-31 15:20:00	81.25	81.32	81.17	81.18
2013-05-31 15:10:00	81.235	81.29	81.15	81.245
2013-05-31 15:00:00	81.16	81.26	81.11	81.24
2013-05-31 14:50:00	81.14	81.20	81.09	81.16
2013-05-31 14:40:00	81.24	81.27	81.11	81.16
2013-05-31 14:30:00	81.23	81.27	81.14	81.24
2013-05-31 14:20:00	81.181	81.27	81.18	81.22
2013-05-31 14:10:00	81.25	81.25	81.11	81.19
2013-05-31 14:00:00	81.21	81.265	81.17	81.24
2013-05-31 13:50:00	81.22	81.26	81.145	81.21
2013-05-31 13:40:00	81.22	81.25	81.17	81.22
2013-05-31 13:30:00	81.25	81.25	81.15	81.221
2013-05-31 13:20:00	81.24	81.265	81.23	81.25
2013-05-31 13:10:00	81.2599	81.275	81.22	81.25
2013-05-31 13:00:00	81.22	81.265	81.20	81.26
2013-05-31 12:50:00	81.28	81.285	81.21	81.21
2013-05-31 12:40:00	81.27	81.295	81.22	81.285
2013-05-31 12:30:00	81.21	81.28	81.20	81.27
2013-05-31 12:20:00	81.10	81.21	81.04	81.21
2013-05-31 12:10:00	81.27	81.28	81.05	81.10
2013-05-31 12:00:00	81.26	81.38	81.13	81.27
2013-05-31 11:50:00	81.25	81.305	81.23	81.27
2013-05-31 11:40:00	81.25	81.335	81.22	81.25
2013-05-31 11:30:00	81.36	81.4201	81.24	81.25
2013-05-31 11:20:00	81.45	81.475	81.36	81.37
2013-05-31 11:10:00	81.40	81.61	81.40	81.44
2013-05-31 11:00:00	81.16	81.555	81.15	81.395
2013-05-31 10:50:00	81.23	81.30	81.14	81.16
2013-05-31 10:40:00	81.231	81.325	81.16	81.22
2013-05-31 10:30:00	81.105	81.26	81.08	81.23
2013-05-31 10:20:00	80.95	81.13	80.88	81.105
2013-05-31 10:10:00	81.19	81.19	80.72	80.965
2013-05-31 10:00:00	81.175	81.35	81.16	81.22
2013-05-31 09:50:00	81.30	81.455	81.12	81.175
2013-05-31 09:40:00	81.125	81.39	81.06	81.31
2013-05-31 09:30:00	81.02	81.18	80.92	81.155
2013-05-30 15:50:00	81.16	81.26	81.14	81.24
2013-05-30 15:40:00	81.20	81.225	81.14	81.155
2013-05-30 15:30:00	81.175	81.20	81.04	81.20
2013-05-30 15:20:00	81.23	81.27	81.16	81.17
2013-05-30 15:10:00	81.26	81.31	81.22	81.23
2013-05-30 15:00:00	81.15	81.285	81.15	81.26
2013-05-30 14:50:00	81.15	81.24	81.12	81.1562
2013-05-30 14:40:00	81.0501	81.165	81.05	81.15
2013-05-30 14:30:00	81.00	81.06	80.96	81.06
2013-05-30 14:20:00	80.98	81.00	80.95	81.00
2013-05-30 14:10:00	80.873	81.015	80.873	80.979
2013-05-30 14:00:00	80.92	80.98	80.86	80.87
2013-05-30 13:50:00	80.97	81.045	80.92	80.935
2013-05-30 13:40:00	80.9538	81.00	80.95	80.97
2013-05-30 13:30:00	80.92	80.995	80.92	80.96
2013-05-30 13:20:00	80.90	80.935	80.8665	80.92
2013-05-30 13:10:00	80.91	80.93	80.82	80.89
2013-05-30 13:00:00	80.955	80.98	80.86	80.92
2013-05-30 12:50:00	80.9205	80.98	80.92	80.945
2013-05-30 12:40:00	80.92	80.99	80.87	80.93
2013-05-30 12:30:00	80.89	80.95	80.86	80.92
2013-05-30 12:20:00	80.94	80.9699	80.88	80.90
2013-05-30 12:10:00	80.90	81.00	80.88	80.9299
2013-05-30 12:00:00	80.93	81.00	80.91	80.92
2013-05-30 11:50:00	80.87	80.95	80.87	80.93
2013-05-30 11:40:00	80.89	80.91	80.8101	80.8748
2013-05-30 11:30:00	80.82	80.94	80.82	80.89
2013-05-30 11:20:00	80.7299	80.865	80.7299	80.815
2013-05-30 11:10:00	80.895	80.98	80.73	80.73
2013-05-30 11:00:00	81.07	81.10	80.88	80.89
2013-05-30 10:50:00	80.969	81.07	80.96	81.07
2013-05-30 10:40:00	80.8601	81.02	80.8601	80.97
2013-05-30 10:30:00	80.945	81.01	80.72	80.84
2013-05-30 10:20:00	80.8101	81.02	80.80	80.9431
2013-05-30 10:10:00	80.95	81.00	80.70	80.8175
2013-05-30 10:00:00	81.12	81.29	80.95	80.95
2013-05-30 09:50:00	81.37	81.37	81.12	81.13
2013-05-30 09:40:00	81.04	81.39	81.02	81.385
2013-05-30 09:30:00	81.14	81.49	81.00	81.07
2013-05-29 15:50:00	81.10	81.19	81.00	81.13
2013-05-29 15:40:00	81.28	81.29	81.07	81.10
2013-05-29 15:30:00	81.40	81.46	81.25	81.285
2013-05-29 15:20:00	81.33	81.465	81.33	81.39
2013-05-29 15:10:00	81.29	81.42	81.2875	81.34
2013-05-29 15:00:00	81.30	81.34	81.245	81.29
2013-05-29 14:50:00	81.39	81.45	81.28	81.28
2013-05-29 14:40:00	81.44	81.49	81.35	81.4077
2013-05-29 14:30:00	81.35	81.4601	81.34	81.44
2013-05-29 14:20:00	81.59	81.59	81.37	81.37
2013-05-29 14:10:00	81.4899	81.62	81.48	81.58
2013-05-29 14:00:00	81.523	81.57	81.41	81.48
2013-05-29 13:50:00	81.44	81.56	81.44	81.52
2013-05-29 13:40:00	81.44	81.53	81.43	81.44
2013-05-29 13:30:00	81.39	81.44	81.28	81.44
2013-05-29 13:20:00	81.18	81.4451	81.18	81.40
2013-05-29 13:10:00	81.20	81.20	81.04	81.1899
2013-05-29 13:00:00	81.12	81.23	81.09	81.20
2013-05-29 12:50:00	81.20	81.231	81.10	81.13
2013-05-29 12:40:00	81.2101	81.30	81.17	81.19
2013-05-29 12:30:00	81.22	81.26	81.13	81.21
2013-05-29 12:20:00	81.415	81.415	81.18	81.24
2013-05-29 12:10:00	81.35	81.475	81.25	81.43
2013-05-29 12:00:00	81.509	81.58	81.35	81.35
2013-05-29 11:50:00	81.34	81.54	81.31	81.50
2013-05-29 11:40:00	81.30	81.38	81.16	81.3475
2013-05-29 11:30:00	81.27	81.40	81.26	81.30
2013-05-29 11:20:00	81.15	81.34	81.15	81.27
2013-05-29 11:10:00	81.08	81.22	81.055	81.14
2013-05-29 11:00:00	81.10	81.14	80.96	81.08
2013-05-29 10:50:00	80.97	81.17	80.95	81.10
2013-05-29 10:40:00	81.22	81.227	80.92	80.96
2013-05-29 10:30:00	81.179	81.38	81.06	81.22
2013-05-29 10:20:00	81.43	81.43	81.12	81.17
2013-05-29 10:10:00	81.54	81.555	81.41	81.431
2013-05-29 10:00:00	81.57	81.76	81.54	81.54
2013-05-29 09:50:00	81.72	81.80	81.57	81.59
2013-05-29 09:40:00	81.921	81.935	81.50	81.70
2013-05-29 09:30:00	82.23	82.23	81.85	81.91
2013-05-28 15:50:00	82.53	82.55	82.44	82.44
2013-05-28 15:40:00	82.56	82.59	82.43	82.535
2013-05-28 15:30:00	82.44	82.60	82.40	82.55
2013-05-28 15:20:00	82.37	82.465	82.35	82.44
2013-05-28 15:10:00	82.40	82.435	82.285	82.3701
2013-05-28 15:00:00	82.42	82.45	82.33	82.39
2013-05-28 14:50:00	82.36	82.51	82.35	82.42
2013-05-28 14:40:00	82.2298	82.393	82.22	82.35
2013-05-28 14:30:00	82.31	82.35	82.22	82.2201
2013-05-28 14:20:00	82.44	82.45	82.275	82.31
2013-05-28 14:10:00	82.38	82.44	82.2831	82.44
