Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	86.175	86.21	85.87	85.90
2013-05-31 15:40:00	86.24	86.31	86.15	86.18
2013-05-31 15:30:00	86.24	86.27	86.01	86.24
2013-05-31 15:20:00	86.305	86.44	86.24	86.24
2013-05-31 15:10:00	86.33	86.37	86.28	86.30
2013-05-31 15:00:00	86.27	86.36	86.22	86.34
2013-05-31 14:50:00	86.301	86.31	86.20	86.255
2013-05-31 14:40:00	86.31	86.37	86.27	86.295
2013-05-31 14:30:00	86.29	86.31	86.18	86.3031
2013-05-31 14:20:00	86.33	86.345	86.28	86.30
2013-05-31 14:10:00	86.35	86.364	86.26	86.34
2013-05-31 14:00:00	86.46	86.46	86.33	86.358
2013-05-31 13:50:00	86.40	86.46	86.36	86.44
2013-05-31 13:40:00	86.39	86.46	86.34	86.39
2013-05-31 13:30:00	86.49	86.495	86.36	86.38
2013-05-31 13:20:00	86.47	86.51	86.46	86.4975
2013-05-31 13:10:00	86.4701	86.51	86.42	86.46
2013-05-31 13:00:00	86.48	86.52	86.46	86.475
2013-05-31 12:50:00	86.57	86.58	86.47	86.48
2013-05-31 12:40:00	86.56	86.60	86.54	86.57
2013-05-31 12:30:00	86.58	86.60	86.50	86.55
2013-05-31 12:20:00	86.53	86.62	86.51	86.5831
2013-05-31 12:10:00	86.589	86.589	86.4598	86.54
2013-05-31 12:00:00	86.66	86.66	86.55	86.58
2013-05-31 11:50:00	86.67	86.72	86.605	86.66
2013-05-31 11:40:00	86.71	86.74	86.64	86.68
2013-05-31 11:30:00	86.68	86.77	86.65	86.72
2013-05-31 11:20:00	86.70	86.73	86.615	86.69
2013-05-31 11:10:00	86.64	86.78	86.62	86.69
2013-05-31 11:00:00	86.32	86.64	86.28	86.64
2013-05-31 10:50:00	86.355	86.37	86.28	86.32
2013-05-31 10:40:00	86.38	86.41	86.28	86.35
2013-05-31 10:30:00	86.22	86.46	86.17	86.39
2013-05-31 10:20:00	86.19	86.25	86.10	86.226
2013-05-31 10:10:00	86.12	86.25	86.07	86.215
2013-05-31 10:00:00	86.28	86.35	86.07	86.12
2013-05-31 09:50:00	86.33	86.35	86.14	86.26
2013-05-31 09:40:00	86.17	86.46	86.15	86.32
2013-05-31 09:30:00	86.32	86.50	86.09	86.15
2013-05-30 15:50:00	86.41	86.425	86.31	86.38
2013-05-30 15:40:00	86.46	86.56	86.40	86.42
2013-05-30 15:30:00	86.49	86.535	86.40	86.47
2013-05-30 15:20:00	86.555	86.58	86.48	86.48
2013-05-30 15:10:00	86.56	86.58	86.50	86.54
2013-05-30 15:00:00	86.60	86.60	86.50	86.55
2013-05-30 14:50:00	86.605	86.62	86.57	86.60
2013-05-30 14:40:00	86.63	86.64	86.55	86.61
2013-05-30 14:30:00	86.69	86.69	86.58	86.62
2013-05-30 14:20:00	86.52	86.695	86.52	86.68
2013-05-30 14:10:00	86.48	86.555	86.4605	86.53
2013-05-30 14:00:00	86.54	86.5458	86.47	86.48
2013-05-30 13:50:00	86.57	86.58	86.5075	86.54
2013-05-30 13:40:00	86.54	86.595	86.53	86.57
2013-05-30 13:30:00	86.45	86.55	86.425	86.55
2013-05-30 13:20:00	86.45	86.455	86.425	86.45
2013-05-30 13:10:00	86.37	86.48	86.36	86.444
2013-05-30 13:00:00	86.42	86.445	86.37	86.38
2013-05-30 12:50:00	86.44	86.44	86.345	86.415
2013-05-30 12:40:00	86.435	86.505	86.43	86.44
2013-05-30 12:30:00	86.52	86.53	86.42	86.43
2013-05-30 12:20:00	86.5449	86.5449	86.4642	86.525
2013-05-30 12:10:00	86.51	86.55	86.50	86.54
2013-05-30 12:00:00	86.54	86.57	86.485	86.50
2013-05-30 11:50:00	86.5101	86.56	86.51	86.55
2013-05-30 11:40:00	86.58	86.58	86.49	86.515
2013-05-30 11:30:00	86.59	86.605	86.54	86.58
2013-05-30 11:20:00	86.53	86.625	86.53	86.58
2013-05-30 11:10:00	86.67	86.68	86.50	86.52
2013-05-30 11:00:00	86.66	86.68	86.58	86.67
2013-05-30 10:50:00	86.647	86.6825	86.58	86.67
2013-05-30 10:40:00	86.61	86.665	86.59	86.645
2013-05-30 10:30:00	86.62	86.63	86.57	86.605
2013-05-30 10:20:00	86.64	86.695	86.55	86.63
2013-05-30 10:10:00	86.64	86.70	86.57	86.63
2013-05-30 10:00:00	86.60	86.735	86.57	86.65
2013-05-30 09:50:00	86.68	86.77	86.56	86.59
2013-05-30 09:40:00	86.45	86.70	86.44	86.66
2013-05-30 09:30:00	86.41	86.65	86.34	86.46
