Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close 
2013-05-31 15:50:00	451.26	451.58	449.50	449.68
2013-05-31 15:40:00	453.19	453.25	451.00	451.26
2013-05-31 15:30:00	453.95	454.00	452.92	453.19
2013-05-31 15:20:00	453.29	454.15	453.285	454.00
2013-05-31 15:10:00	453.70	453.969	453.13	453.32
2013-05-31 15:00:00	452.98	454.12	452.6159	453.71
2013-05-31 14:50:00	453.76	454.00	452.53	452.97
2013-05-31 14:40:00	453.17	453.99	452.82	453.76
2013-05-31 14:30:00	454.40	454.459	453.05	453.15
2013-05-31 14:20:00	453.94	454.4799	453.80	454.40
2013-05-31 14:10:00	454.58	454.75	453.21	453.94
2013-05-31 14:00:00	454.91	455.08	454.0401	454.59
2013-05-31 13:50:00	455.422	455.62	454.80	454.91
2013-05-31 13:40:00	455.63	455.85	455.35	455.44
2013-05-31 13:30:00	456.26	456.26	455.15	455.64
2013-05-31 13:20:00	456.79	456.92	456.0855	456.26
2013-05-31 13:10:00	456.86	456.979	456.51	456.79
2013-05-31 13:00:00	456.62	457.02	456.35	456.89
2013-05-31 12:50:00	456.70	456.79	456.36	456.50
2013-05-31 12:40:00	456.675	456.79	456.445	456.71
2013-05-31 12:30:00	456.58	456.69	456.24	456.58
2013-05-31 12:20:00	456.33	456.62	456.16	456.58
2013-05-31 12:10:00	456.28	456.43	455.73	456.33
2013-05-31 12:00:00	456.77	456.895	455.80	456.335
2013-05-31 11:50:00	456.71	457.10	456.60	456.76
2013-05-31 11:40:00	456.621	456.89	456.33	456.68
2013-05-31 11:30:00	456.19	456.68	456.01	456.57
2013-05-31 11:20:00	455.65	456.39	455.31	456.27
2013-05-31 11:10:00	455.68	456.00	455.51	455.66
2013-05-31 11:00:00	455.10	455.67	454.76	455.612
2013-05-31 10:50:00	455.83	455.83	454.67	455.16
2013-05-31 10:40:00	456.10	456.21	455.50	455.82
2013-05-31 10:30:00	455.11	456.25	454.96	456.05
2013-05-31 10:20:00	454.91	455.19	454.56	454.9801
2013-05-31 10:10:00	455.45	455.74	454.58	454.93
2013-05-31 10:00:00	455.22	456.43	455.09	455.45
2013-05-31 09:50:00	454.8437	456.29	454.78	455.18
2013-05-31 09:40:00	454.443	454.93	453.34	454.77
2013-05-31 09:30:00	452.50	454.99	452.45	454.29
2013-05-30 15:50:00	452.79	452.92	451.50	451.58
2013-05-30 15:40:00	453.25	453.765	452.45	452.77
2013-05-30 15:30:00	453.222	453.33	452.82	453.31
2013-05-30 15:20:00	454.18	454.28	453.20	453.25
2013-05-30 15:10:00	453.66	454.50	453.54	454.2578
2013-05-30 15:00:00	452.9401	453.70	452.44	453.663
2013-05-30 14:50:00	451.96	453.165	451.85	453.0578
2013-05-30 14:40:00	451.90	452.00	451.31	451.9706
2013-05-30 14:30:00	452.30	452.45	451.41	451.90
2013-05-30 14:20:00	451.74	452.58	451.74	452.30
2013-05-30 14:10:00	451.51	451.8675	451.26	451.80
2013-05-30 14:00:00	452.36	452.69	451.35	451.51
2013-05-30 13:50:00	451.68	452.40	451.66	452.35
2013-05-30 13:40:00	452.40	452.51	451.38	451.69
2013-05-30 13:30:00	451.40	452.609	451.3101	452.41
2013-05-30 13:20:00	450.36	451.47	450.16	451.372
2013-05-30 13:10:00	450.50	450.74	450.14	450.34
2013-05-30 13:00:00	450.37	450.78	449.95	450.50
2013-05-30 12:50:00	449.80	450.45	449.30	450.345
2013-05-30 12:40:00	448.61	449.78	448.53	449.777
2013-05-30 12:30:00	448.85	448.90	448.44	448.61
2013-05-30 12:20:00	448.86	449.00	448.52	448.90
2013-05-30 12:10:00	448.92	449.11	448.54	448.9999
2013-05-30 12:00:00	449.61	449.77	448.73	448.95
2013-05-30 11:50:00	448.87	449.74	448.68	449.55
2013-05-30 11:40:00	447.636	448.95	447.35	448.88
2013-05-30 11:30:00	447.36	447.63	447.071	447.54
2013-05-30 11:20:00	446.94	447.55	446.81	447.33
2013-05-30 11:10:00	446.875	447.64	446.73	446.948
2013-05-30 11:00:00	447.07	447.465	446.682	446.93
2013-05-30 10:50:00	445.58	447.14	445.55	447.10
2013-05-30 10:40:00	445.65	446.19	445.3001	445.67
2013-05-30 10:30:00	446.55	446.577	445.64	445.65
2013-05-30 10:20:00	446.85	446.85	445.86	446.41
2013-05-30 10:10:00	446.29	446.94	446.13	446.73
