Date	 (R1) Open 	 (R1) High 	 (R1) Low 	 (R1) Close

2013-05-31 15:50:00	24.34	24.36	24.30	24.35
2013-05-31 15:40:00	24.3555	24.4075	24.31	24.33
2013-05-31 15:30:00	24.35	24.39	24.31	24.3589
2013-05-31 15:20:00	24.325	24.39	24.32	24.35
2013-05-31 15:10:00	24.331	24.34	24.30	24.32
2013-05-31 15:00:00	24.285	24.35	24.27	24.3327
2013-05-31 14:50:00	24.31	24.32	24.27	24.29
2013-05-31 14:40:00	24.3015	24.35	24.30	24.31
2013-05-31 14:30:00	24.36	24.36	24.305	24.31
2013-05-31 14:20:00	24.3368	24.379	24.32	24.35
2013-05-31 14:10:00	24.378	24.39	24.30	24.3339
2013-05-31 14:00:00	24.422	24.44	24.35	24.371
2013-05-31 13:50:00	24.43	24.438	24.41	24.42
2013-05-31 13:40:00	24.4673	24.47	24.43	24.43
2013-05-31 13:30:00	24.53	24.5393	24.44	24.4658
2013-05-31 13:20:00	24.56	24.58	24.50	24.54
2013-05-31 13:10:00	24.4632	24.56	24.46	24.56
2013-05-31 13:00:00	24.41	24.49	24.40	24.46
2013-05-31 12:50:00	24.4301	24.45	24.38	24.408
2013-05-31 12:40:00	24.3599	24.44	24.35	24.44
2013-05-31 12:30:00	24.40	24.41	24.34	24.3562
2013-05-31 12:20:00	24.47	24.48	24.39	24.4015
2013-05-31 12:10:00	24.4399	24.47	24.42	24.47
2013-05-31 12:00:00	24.45	24.4875	24.43	24.43
2013-05-31 11:50:00	24.509	24.5573	24.45	24.4599
2013-05-31 11:40:00	24.5649	24.58	24.50	24.50
2013-05-31 11:30:00	24.57	24.60	24.54	24.57
2013-05-31 11:20:00	24.57	24.58	24.51	24.57
2013-05-31 11:10:00	24.57	24.64	24.55	24.5701
2013-05-31 11:00:00	24.4675	24.58	24.4638	24.57
2013-05-31 10:50:00	24.5199	24.52	24.42	24.4699
2013-05-31 10:40:00	24.5932	24.60	24.47	24.513
2013-05-31 10:30:00	24.629	24.69	24.59	24.593
2013-05-31 10:20:00	24.67	24.689	24.50	24.62
2013-05-31 10:10:00	24.6827	24.71	24.66	24.6773
2013-05-31 10:00:00	24.735	24.78	24.66	24.68
2013-05-31 09:50:00	24.859	24.8699	24.72	24.73
2013-05-31 09:40:00	24.905	24.9099	24.72	24.859
2013-05-31 09:30:00	24.63	24.95	24.62	24.905
2013-05-30 15:50:00	24.54	24.56	24.50	24.56
2013-05-30 15:40:00	24.56	24.60	24.54	24.54
2013-05-30 15:30:00	24.531	24.58	24.50	24.559
2013-05-30 15:20:00	24.67	24.67	24.51	24.53
2013-05-30 15:10:00	24.66	24.73	24.65	24.66
2013-05-30 15:00:00	24.655	24.69	24.65	24.661
2013-05-30 14:50:00	24.70	24.72	24.65	24.655
2013-05-30 14:40:00	24.66	24.70	24.63	24.695
2013-05-30 14:30:00	24.69	24.71	24.62	24.65
2013-05-30 14:20:00	24.71	24.74	24.66	24.681
2013-05-30 14:10:00	24.74	24.749	24.69	24.71
2013-05-30 14:00:00	24.695	24.77	24.68	24.7475
2013-05-30 13:50:00	24.655	24.70	24.65	24.695
2013-05-30 13:40:00	24.69	24.7372	24.65	24.655
2013-05-30 13:30:00	24.74	24.75	24.67	24.69
2013-05-30 13:20:00	24.73	24.74	24.71	24.74
2013-05-30 13:10:00	24.73	24.75	24.71	24.73
2013-05-30 13:00:00	24.6701	24.75	24.67	24.7272
2013-05-30 12:50:00	24.70	24.705	24.66	24.68
2013-05-30 12:40:00	24.67	24.70	24.62	24.698
2013-05-30 12:30:00	24.58	24.73	24.58	24.6799
2013-05-30 12:20:00	24.649	24.66	24.56	24.581
2013-05-30 12:10:00	24.6728	24.72	24.62	24.65
2013-05-30 12:00:00	24.68	24.779	24.67	24.68
2013-05-30 11:50:00	24.6399	24.71	24.6301	24.69
2013-05-30 11:40:00	24.651	24.68	24.63	24.64
2013-05-30 11:30:00	24.66	24.71	24.62	24.6548
2013-05-30 11:20:00	24.5732	24.67	24.55	24.6591
2013-05-30 11:10:00	24.52	24.58	24.49	24.579
2013-05-30 11:00:00	24.53	24.58	24.47	24.5101
2013-05-30 10:50:00	24.365	24.55	24.36	24.5272
2013-05-30 10:40:00	24.3199	24.39	24.31	24.3699
2013-05-30 10:30:00	24.395	24.42	24.31	24.3125
2013-05-30 10:20:00	24.391	24.45	24.36	24.3947
2013-05-30 10:10:00	24.3032	24.42	24.25	24.40
2013-05-30 10:00:00	24.331	24.39	24.20	24.3072
2013-05-30 09:50:00	24.2772	24.42	24.25	24.33
2013-05-30 09:40:00	24.02	24.29	23.991	24.2797
2013-05-30 09:30:00	24.13	24.25	23.93	24.01
2013-05-29 15:50:00	23.30	23.33	23.28	23.32
2013-05-29 15:40:00	23.3685	23.37	23.29	23.30
2013-05-29 15:30:00	23.32	23.38	23.31	23.369
2013-05-29 15:20:00	23.29	23.36	23.27	23.31
2013-05-29 15:10:00	23.325	23.36	23.26	23.28
2013-05-29 15:00:00	23.365	23.3975	23.275	23.3299
2013-05-29 14:50:00	23.5099	23.51	23.36	23.36
2013-05-29 14:40:00	23.53	23.56	23.50	23.505
2013-05-29 14:30:00	23.49	23.56	23.49	23.54
2013-05-29 14:20:00	23.4999	23.51	23.47	23.49
